Year,City,Population (in Lakhs) (2011)+,Number Of Cases,Type
2014,Kochi,21.2,2,Crime against ST
2015,Kochi,21.2,1,Crime against ST
2016,Kochi,21.2,2,Crime against ST
2017,Kochi,21.2,0,Crime against ST
2018,Kochi,21.2,0,Crime against ST
2019,Kochi,21.2,2,Crime against ST
2020,Kochi,21.2,2,Crime against ST
2021,Kochi,21.2,2,Crime against ST
2014,Kolkata,141.1,0,Crime against ST
2015,Kolkata,141.1,2,Crime against ST
2016,Kolkata,141.1,2,Crime against ST
2017,Kolkata,141.1,0,Crime against ST
2018,Kolkata,141.1,3,Crime against ST
2019,Kolkata,141.1,5,Crime against ST
2020,Kolkata,141.1,2,Crime against ST
2021,Kolkata,141.1,0,Crime against ST
2014,Kozhikode,20.3,1,Crime against ST
2015,Kozhikode,20.3,0,Crime against ST
2016,Kozhikode,20.3,0,Crime against ST
2017,Kozhikode,20.3,0,Crime against ST
2018,Kozhikode,20.3,1,Crime against ST
2019,Kozhikode,20.3,0,Crime against ST
2020,Kozhikode,20.3,0,Crime against ST
2021,Kozhikode,20.3,1,Crime against ST
2014,Lucknow,29.0,0,Crime against ST
2015,Lucknow,29.0,0,Crime against ST
2016,Lucknow,29.0,0,Crime against ST
2017,Lucknow,29.0,0,Crime against ST
2018,Lucknow,29.0,0,Crime against ST
2019,Lucknow,29.0,0,Crime against ST
2020,Lucknow,29.0,0,Crime against ST
2021,Lucknow,29.0,0,Crime against ST
2014,Mumbai,184.1,4,Crime against ST
2015,Mumbai,184.1,2,Crime against ST
2016,Mumbai,184.1,3,Crime against ST
2017,Mumbai,184.1,3,Crime against ST
2018,Mumbai,184.1,0,Crime against ST
2019,Mumbai,184.1,7,Crime against ST
2020,Mumbai,184.1,6,Crime against ST
2021,Mumbai,184.1,3,Crime against ST
2014,Nagpur,25.0,6,Crime against ST
2015,Nagpur,25.0,4,Crime against ST
2016,Nagpur,25.0,5,Crime against ST
2017,Nagpur,25.0,7,Crime against ST
2018,Nagpur,25.0,0,Crime against ST
2019,Nagpur,25.0,8,Crime against ST
2020,Nagpur,25.0,3,Crime against ST
2021,Nagpur,25.0,7,Crime against ST
2014,Patna,20.5,0,Crime against ST
2015,Patna,20.5,0,Crime against ST
2016,Patna,20.5,0,Crime against ST
2017,Patna,20.5,0,Crime against ST
2018,Patna,20.5,0,Crime against ST
2019,Patna,20.5,0,Crime against ST
2020,Patna,20.5,0,Crime against ST
2021,Patna,20.5,0,Crime against ST
2014,Pune,50.5,0,Crime against ST
2015,Pune,50.5,1,Crime against ST
2016,Pune,50.5,1,Crime against ST
2017,Pune,50.5,1,Crime against ST
2018,Pune,50.5,1,Crime against ST
2019,Pune,50.5,0,Crime against ST
2020,Pune,50.5,1,Crime against ST
2021,Pune,50.5,2,Crime against ST
2014,Surat,45.8,11,Crime against ST
2015,Surat,45.8,8,Crime against ST
2016,Surat,45.8,9,Crime against ST
2017,Surat,45.8,10,Crime against ST
2018,Surat,45.8,13,Crime against ST
2019,Surat,45.8,19,Crime against ST
2020,Surat,45.8,12,Crime against ST
2021,Surat,45.8,19,Crime against ST
2014,Ahmedabad,63.5,399,Economic Offences
2015,Ahmedabad,63.5,378,Economic Offences
2016,Ahmedabad,63.5,479,Economic Offences
2017,Ahmedabad,63.5,608,Economic Offences
2018,Ahmedabad,63.5,842,Economic Offences
2019,Ahmedabad,63.5,860,Economic Offences
2020,Ahmedabad,63.5,734,Economic Offences
2021,Ahmedabad,63.5,765,Economic Offences
2014,Bengaluru,85.0,3224,Economic Offences
2015,Bengaluru,85.0,3519,Economic Offences
2016,Bengaluru,85.0,3505,Economic Offences
2017,Bengaluru,85.0,3463,Economic Offences
2018,Bengaluru,85.0,3241,Economic Offences
2019,Bengaluru,85.0,2850,Economic Offences
2020,Bengaluru,85.0,2085,Economic Offences
2021,Bengaluru,85.0,2715,Economic Offences
2014,Chennai,87.0,700,Economic Offences
2015,Chennai,87.0,558,Economic Offences
2016,Chennai,87.0,426,Economic Offences
2017,Chennai,87.0,663,Economic Offences
2018,Chennai,87.0,1050,Economic Offences
2019,Chennai,87.0,811,Economic Offences
2020,Chennai,87.0,696,Economic Offences
2021,Chennai,87.0,840,Economic Offences
2014,Coimbatore,21.5,188,Economic Offences
2015,Coimbatore,21.5,171,Economic Offences
2016,Coimbatore,21.5,118,Economic Offences
2017,Coimbatore,21.5,145,Economic Offences
2018,Coimbatore,21.5,106,Economic Offences
2019,Coimbatore,21.5,108,Economic Offences
2020,Coimbatore,21.5,92,Economic Offences
2021,Coimbatore,21.5,182,Economic Offences
2014,Delhi,163.1,5138,Economic Offences
2015,Delhi,163.1,6396,Economic Offences
2016,Delhi,163.1,5942,Economic Offences
2017,Delhi,163.1,4808,Economic Offences
2018,Delhi,163.1,4469,Economic Offences
2019,Delhi,163.1,4817,Economic Offences
2020,Delhi,163.1,4445,Economic Offences
2021,Delhi,163.1,5102,Economic Offences
2014,Ghaziabad,23.6,455,Economic Offences
2015,Ghaziabad,23.6,433,Economic Offences
2016,Ghaziabad,23.6,439,Economic Offences
2017,Ghaziabad,23.6,473,Economic Offences
2018,Ghaziabad,23.6,552,Economic Offences
2019,Ghaziabad,23.6,378,Economic Offences
2020,Ghaziabad,23.6,567,Economic Offences
2021,Ghaziabad,23.6,595,Economic Offences
2014,Hyderabad,77.5,2734,Economic Offences
2015,Hyderabad,77.5,2326,Economic Offences
2016,Hyderabad,77.5,2239,Economic Offences
2017,Hyderabad,77.5,2037,Economic Offences
2018,Hyderabad,77.5,1788,Economic Offences
2019,Hyderabad,77.5,1895,Economic Offences
2020,Hyderabad,77.5,3427,Economic Offences
2021,Hyderabad,77.5,4860,Economic Offences
2014,Indore,21.7,238,Economic Offences
2015,Indore,21.7,205,Economic Offences
2016,Indore,21.7,319,Economic Offences
2017,Indore,21.7,264,Economic Offences
2018,Indore,21.7,268,Economic Offences
2019,Indore,21.7,454,Economic Offences
2020,Indore,21.7,273,Economic Offences
2021,Indore,21.7,395,Economic Offences
2014,Jaipur,30.7,4961,Economic Offences
2015,Jaipur,30.7,5613,Economic Offences
2016,Jaipur,30.7,4742,Economic Offences
2017,Jaipur,30.7,4318,Economic Offences
2018,Jaipur,30.7,4385,Economic Offences
2019,Jaipur,30.7,6107,Economic Offences
2020,Jaipur,30.7,3217,Economic Offences
2021,Jaipur,30.7,4275,Economic Offences
2014,Kanpur,29.2,468,Economic Offences
2015,Kanpur,29.2,428,Economic Offences
2016,Kanpur,29.2,551,Economic Offences
2017,Kanpur,29.2,765,Economic Offences
2018,Kanpur,29.2,765,Economic Offences
2019,Kanpur,29.2,437,Economic Offences
2020,Kanpur,29.2,281,Economic Offences
2021,Kanpur,29.2,433,Economic Offences
2014,Kochi,21.2,768,Economic Offences
2015,Kochi,21.2,598,Economic Offences
2016,Kochi,21.2,577,Economic Offences
2017,Kochi,21.2,377,Economic Offences
2018,Kochi,21.2,461,Economic Offences
2019,Kochi,21.2,469,Economic Offences
2020,Kochi,21.2,481,Economic Offences
2021,Kochi,21.2,434,Economic Offences
2014,Kolkata,141.1,2276,Economic Offences
2015,Kolkata,141.1,2171,Economic Offences
2016,Kolkata,141.1,2155,Economic Offences
2017,Kolkata,141.1,2198,Economic Offences
2018,Kolkata,141.1,2729,Economic Offences
2019,Kolkata,141.1,2327,Economic Offences
2020,Kolkata,141.1,1817,Economic Offences
2021,Kolkata,141.1,2077,Economic Offences
2014,Kozhikode,20.3,305,Economic Offences
2015,Kozhikode,20.3,263,Economic Offences
2016,Kozhikode,20.3,142,Economic Offences
2017,Kozhikode,20.3,167,Economic Offences
2018,Kozhikode,20.3,134,Economic Offences
2019,Kozhikode,20.3,174,Economic Offences
2020,Kozhikode,20.3,300,Economic Offences
2021,Kozhikode,20.3,311,Economic Offences
2014,Lucknow,29.0,1351,Economic Offences
2015,Lucknow,29.0,1222,Economic Offences
2016,Lucknow,29.0,1584,Economic Offences
2017,Lucknow,29.0,1886,Economic Offences
2018,Lucknow,29.0,2504,Economic Offences
2019,Lucknow,29.0,3011,Economic Offences
2020,Lucknow,29.0,2224,Economic Offences
2021,Lucknow,29.0,3440,Economic Offences
2014,Mumbai,184.1,4285,Economic Offences
2015,Mumbai,184.1,4502,Economic Offences
2016,Mumbai,184.1,4191,Economic Offences
2017,Mumbai,184.1,4462,Economic Offences
2018,Mumbai,184.1,4803,Economic Offences
2019,Mumbai,184.1,5556,Economic Offences
2020,Mumbai,184.1,3927,Economic Offences
2021,Mumbai,184.1,5671,Economic Offences
2014,Nagpur,25.0,451,Economic Offences
2015,Nagpur,25.0,464,Economic Offences
2016,Nagpur,25.0,468,Economic Offences
2017,Nagpur,25.0,509,Economic Offences
2018,Nagpur,25.0,534,Economic Offences
2019,Nagpur,25.0,452,Economic Offences
2020,Nagpur,25.0,506,Economic Offences
2021,Nagpur,25.0,541,Economic Offences
2014,Patna,20.5,1163,Economic Offences
2015,Patna,20.5,1608,Economic Offences
2016,Patna,20.5,1292,Economic Offences
2017,Patna,20.5,156,Economic Offences
2018,Patna,20.5,1264,Economic Offences
2019,Patna,20.5,1535,Economic Offences
2020,Patna,20.5,1017,Economic Offences
2021,Patna,20.5,1181,Economic Offences
2014,Pune,50.5,862,Economic Offences
2015,Pune,50.5,907,Economic Offences
2016,Pune,50.5,1109,Economic Offences
2017,Pune,50.5,1046,Economic Offences
2018,Pune,50.5,777,Economic Offences
2019,Pune,50.5,934,Economic Offences
2020,Pune,50.5,480,Economic Offences
2021,Pune,50.5,705,Economic Offences
2014,Surat,45.8,380,Economic Offences
2015,Surat,45.8,421,Economic Offences
2016,Surat,45.8,456,Economic Offences
2017,Surat,45.8,719,Economic Offences
2018,Surat,45.8,829,Economic Offences
2019,Surat,45.8,804,Economic Offences
2020,Surat,45.8,401,Economic Offences
2021,Surat,45.8,663,Economic Offences
2014,Ahmedabad,63.5,32,Cyber Crimes
2015,Ahmedabad,63.5,28,Cyber Crimes
2016,Ahmedabad,63.5,77,Cyber Crimes
2017,Ahmedabad,63.5,112,Cyber Crimes
2018,Ahmedabad,63.5,212,Cyber Crimes
2019,Ahmedabad,63.5,171,Cyber Crimes
2020,Ahmedabad,63.5,421,Cyber Crimes
2021,Ahmedabad,63.5,447,Cyber Crimes
2014,Bengaluru,85.0,675,Cyber Crimes
2015,Bengaluru,85.0,1042,Cyber Crimes
2016,Bengaluru,85.0,762,Cyber Crimes
2017,Bengaluru,85.0,2743,Cyber Crimes
2018,Bengaluru,85.0,5253,Cyber Crimes
2019,Bengaluru,85.0,10555,Cyber Crimes
2020,Bengaluru,85.0,8892,Cyber Crimes
2021,Bengaluru,85.0,6423,Cyber Crimes
2014,Chennai,87.0,34,Cyber Crimes
2015,Chennai,87.0,29,Cyber Crimes
2016,Chennai,87.0,26,Cyber Crimes
2017,Chennai,87.0,52,Cyber Crimes
2018,Chennai,87.0,73,Cyber Crimes
2019,Chennai,87.0,118,Cyber Crimes
2020,Chennai,87.0,186,Cyber Crimes
2021,Chennai,87.0,76,Cyber Crimes
2014,Coimbatore,21.5,20,Cyber Crimes
2015,Coimbatore,21.5,20,Cyber Crimes
2016,Coimbatore,21.5,18,Cyber Crimes
2017,Coimbatore,21.5,19,Cyber Crimes
2018,Coimbatore,21.5,15,Cyber Crimes
2019,Coimbatore,21.5,8,Cyber Crimes
2020,Coimbatore,21.5,4,Cyber Crimes
2021,Coimbatore,21.5,44,Cyber Crimes
2014,Delhi,163.1,224,Cyber Crimes
2015,Delhi,163.1,169,Cyber Crimes
2016,Delhi,163.1,90,Cyber Crimes
2017,Delhi,163.1,143,Cyber Crimes
2018,Delhi,163.1,163,Cyber Crimes
2019,Delhi,163.1,107,Cyber Crimes
2020,Delhi,163.1,166,Cyber Crimes
2021,Delhi,163.1,345,Cyber Crimes
2014,Ghaziabad,23.6,61,Cyber Crimes
2015,Ghaziabad,23.6,25,Cyber Crimes
2016,Ghaziabad,23.6,62,Cyber Crimes
2017,Ghaziabad,23.6,118,Cyber Crimes
2018,Ghaziabad,23.6,191,Cyber Crimes
2019,Ghaziabad,23.6,347,Cyber Crimes
2020,Ghaziabad,23.6,756,Cyber Crimes
2021,Ghaziabad,23.6,451,Cyber Crimes
2014,Hyderabad,77.5,386,Cyber Crimes
2015,Hyderabad,77.5,369,Cyber Crimes
2016,Hyderabad,77.5,291,Cyber Crimes
2017,Hyderabad,77.5,328,Cyber Crimes
2018,Hyderabad,77.5,428,Cyber Crimes
2019,Hyderabad,77.5,1379,Cyber Crimes
2020,Hyderabad,77.5,2553,Cyber Crimes
2021,Hyderabad,77.5,3303,Cyber Crimes
2014,Indore,21.7,63,Cyber Crimes
2015,Indore,21.7,65,Cyber Crimes
2016,Indore,21.7,21,Cyber Crimes
2017,Indore,21.7,32,Cyber Crimes
2018,Indore,21.7,39,Cyber Crimes
2019,Indore,21.7,41,Cyber Crimes
2020,Indore,21.7,46,Cyber Crimes
2021,Indore,21.7,37,Cyber Crimes
2014,Jaipur,30.7,374,Cyber Crimes
2015,Jaipur,30.7,563,Cyber Crimes
2016,Jaipur,30.7,532,Cyber Crimes
2017,Jaipur,30.7,685,Cyber Crimes
2018,Jaipur,30.7,415,Cyber Crimes
2019,Jaipur,30.7,544,Cyber Crimes
2020,Jaipur,30.7,192,Cyber Crimes
2021,Jaipur,30.7,254,Cyber Crimes
2014,Kanpur,29.2,44,Cyber Crimes
2015,Kanpur,29.2,338,Cyber Crimes
2016,Kanpur,29.2,136,Cyber Crimes
2017,Kanpur,29.2,229,Cyber Crimes
2018,Kanpur,29.2,229,Cyber Crimes
2019,Kanpur,29.2,365,Cyber Crimes
2020,Kanpur,29.2,300,Cyber Crimes
2021,Kanpur,29.2,449,Cyber Crimes
2014,Kochi,21.2,63,Cyber Crimes
2015,Kochi,21.2,26,Cyber Crimes
2016,Kochi,21.2,33,Cyber Crimes
2017,Kochi,21.2,39,Cyber Crimes
2018,Kochi,21.2,48,Cyber Crimes
2019,Kochi,21.2,43,Cyber Crimes
2020,Kochi,21.2,62,Cyber Crimes
2021,Kochi,21.2,62,Cyber Crimes
2014,Kolkata,141.1,98,Cyber Crimes
2015,Kolkata,141.1,111,Cyber Crimes
2016,Kolkata,141.1,168,Cyber Crimes
2017,Kolkata,141.1,196,Cyber Crimes
2018,Kolkata,141.1,32,Cyber Crimes
2019,Kolkata,141.1,160,Cyber Crimes
2020,Kolkata,141.1,172,Cyber Crimes
2021,Kolkata,141.1,220,Cyber Crimes
2014,Kozhikode,20.3,21,Cyber Crimes
2015,Kozhikode,20.3,10,Cyber Crimes
2016,Kozhikode,20.3,16,Cyber Crimes
2017,Kozhikode,20.3,12,Cyber Crimes
2018,Kozhikode,20.3,27,Cyber Crimes
2019,Kozhikode,20.3,15,Cyber Crimes
2020,Kozhikode,20.3,12,Cyber Crimes
2021,Kozhikode,20.3,37,Cyber Crimes
2014,Lucknow,29.0,205,Cyber Crimes
2015,Lucknow,29.0,329,Cyber Crimes
2016,Lucknow,29.0,361,Cyber Crimes
2017,Lucknow,29.0,608,Cyber Crimes
2018,Lucknow,29.0,962,Cyber Crimes
2019,Lucknow,29.0,1262,Cyber Crimes
2020,Lucknow,29.0,1465,Cyber Crimes
2021,Lucknow,29.0,1067,Cyber Crimes
2014,Mumbai,184.1,608,Cyber Crimes
2015,Mumbai,184.1,979,Cyber Crimes
2016,Mumbai,184.1,980,Cyber Crimes
2017,Mumbai,184.1,1362,Cyber Crimes
2018,Mumbai,184.1,1482,Cyber Crimes
2019,Mumbai,184.1,2527,Cyber Crimes
2020,Mumbai,184.1,2433,Cyber Crimes
2021,Mumbai,184.1,2883,Cyber Crimes
2014,Nagpur,25.0,54,Cyber Crimes
2015,Nagpur,25.0,102,Cyber Crimes
2016,Nagpur,25.0,97,Cyber Crimes
2017,Nagpur,25.0,81,Cyber Crimes
2018,Nagpur,25.0,106,Cyber Crimes
2019,Nagpur,25.0,119,Cyber Crimes
2020,Nagpur,25.0,243,Cyber Crimes
2021,Nagpur,25.0,192,Cyber Crimes
2014,Patna,20.5,84,Cyber Crimes
2015,Patna,20.5,187,Cyber Crimes
2016,Patna,20.5,167,Cyber Crimes
2017,Patna,20.5,79,Cyber Crimes
2018,Patna,20.5,115,Cyber Crimes
2019,Patna,20.5,202,Cyber Crimes
2020,Patna,20.5,312,Cyber Crimes
2021,Patna,20.5,304,Cyber Crimes
2014,Pune,50.5,140,Cyber Crimes
2015,Pune,50.5,85,Cyber Crimes
2016,Pune,50.5,269,Cyber Crimes
2017,Pune,50.5,318,Cyber Crimes
2018,Pune,50.5,153,Cyber Crimes
2019,Pune,50.5,309,Cyber Crimes
2020,Pune,50.5,238,Cyber Crimes
2021,Pune,50.5,225,Cyber Crimes
2014,Surat,45.8,79,Cyber Crimes
2015,Surat,45.8,84,Cyber Crimes
2016,Surat,45.8,66,Cyber Crimes
2017,Surat,45.8,105,Cyber Crimes
2018,Surat,45.8,155,Cyber Crimes
2019,Surat,45.8,228,Cyber Crimes
2020,Surat,45.8,204,Cyber Crimes
2021,Surat,45.8,296,Cyber Crimes
